ros_timestamp,predicted_score,true_label,traversability_cost,w_slip,w_imu_rp,w_imu_gyro,w_wheel_speed,w_wheel_accel,gt_slip,gt_imu_rp,gt_imu_gyro,gt_wheel_speed,gt_wheel_accel
1770200091.4260,0.46318119764328003,0.8902277946472168,1.0,0.16779299,0.019955797,0.3522317,0.1678229,0.2921966,0.8902278,0.8902278,0.8902278,0.8902278,0.8902278
1770200091.5142,0.4873419404029846,0.8902277946472168,1.0,0.18049625,0.05849988,0.35995328,0.2716681,0.12938249,0.8902278,0.8902278,0.8902278,0.8902278,0.8902278
1770200091.6230,0.5179881453514099,0.8744152188301086,1.0,0.12376205,0.20139621,0.16450076,0.45313337,0.057207532,0.92066747,0.9011288,0.77733475,0.8262165,0.9467283
1770200091.6598,0.6080265641212463,0.8898465037345886,1.0,0.29290476,0.22712542,0.13328223,0.29481557,0.05187197,0.8898465,0.8898465,0.8898465,0.8898465,0.8898465
1770200091.8223,0.567275881767273,0.8902277946472168,0.4744962155818939,0.14579356,0.21685696,0.18568127,0.29243493,0.15923335,0.9202526,0.93495905,0.82015043,0.8291803,0.94659674
1770200091.9391,0.5326693654060364,0.8902277946472168,0.2997286021709442,0.12607011,0.18526481,0.14640282,0.41209656,0.13016568,0.9202526,0.93495905,0.82015043,0.8291803,0.94659674
1770200091.9691,0.5057259798049927,0.8902277946472168,0.26659688353538513,0.10898153,0.15870886,0.102283485,0.51809686,0.11192931,0.9202526,0.93495905,0.82015043,0.8291803,0.94659674
1770200092.0608,0.4922785460948944,0.8902277946472168,0.1967685967683792,0.086490355,0.12638412,0.087439135,0.607571,0.09211538,0.9202526,0.93495905,0.82015043,0.8291803,0.94659674
1770200092.1933,0.4628865718841553,0.9151422381401062,0.15681783854961395,0.06925697,0.15645294,0.07567983,0.67197186,0.026638404,0.91514224,0.91514224,0.91514224,0.91514224,0.91514224
1770200092.2808,0.7204617261886597,0.9151422381401062,0.1540612131357193,0.22276524,0.14185122,0.35523498,0.18017596,0.099972636,0.91514224,0.91514224,0.91514224,0.91514224,0.91514224
1770200092.3907,0.7021128535270691,0.9151422381401062,0.18604856729507446,0.24216627,0.19318601,0.33655733,0.14020899,0.08788142,0.91514224,0.91514224,0.91514224,0.91514224,0.91514224
